timestamp,roll,pitch,yaw,timestamp_mag,mag_x,mag_y,mag_z
1.74E+15,-0.517,2.264,-35.695,1.74E+15,0.102941963,0.050950333,0.091476075
1.74E+15,-0.512,2.275,-35.699,1.74E+15,0.102759,0.051247,0.090922
1.74E+15,-0.513,2.267,-35.702,1.74E+15,0.102486462,0.051799888,0.089400194
1.74E+15,-0.512,2.274,-35.702,1.74E+15,0.102964822,0.051120996,0.091499277
1.74E+15,-0.518,2.261,-35.707,1.74E+15,0.102789456,0.051256293,0.09048109
1.74E+15,-0.518,2.26,-35.709,1.74E+15,0.102627391,0.052107569,0.090320651
1.74E+15,-0.52,2.259,-35.711,1.74E+15,0.10269874,0.051117437,0.09089405
1.74E+15,-0.517,2.266,-35.712,1.74E+15,0.102854806,0.05129397,0.090787244
1.74E+15,-0.518,2.265,-35.715,1.74E+15,0.102687,0.051406,0.090055
1.74E+15,-0.52,2.26,-35.718,1.74E+15,0.102607252,0.052070648,0.090325883
1.74E+15,-0.516,2.27,-35.721,1.74E+15,0.102823634,0.050829762,0.091497793
1.74E+15,-0.522,2.257,-35.724,1.74E+15,0.102791537,0.051283938,0.09042429
1.74E+15,-0.518,2.265,-35.728,1.74E+15,0.102735908,0.052048917,0.09014734
1.74E+15,-0.507,2.279,-35.727,1.74E+15,0.102874379,0.050855184,0.091403048
1.74E+15,-0.516,2.256,-35.73,1.74E+15,0.102918833,0.050953216,0.091052343
1.74E+15,-0.503,2.286,-35.729,1.74E+15,0.102827233,0.050737753,0.091658636
1.74E+15,-0.506,2.275,-35.73,1.74E+15,0.102802876,0.051631247,0.090311508
1.74E+15,-0.5,2.286,-35.733,1.74E+15,0.102926108,0.051130199,0.091435364
1.74E+15,-0.504,2.277,-35.733,1.74E+15,0.103057,0.050946,0.090372
1.74E+15,-0.5,2.283,-35.734,1.74E+15,0.103014479,0.051866829,0.089550852
1.74E+15,-0.495,2.292,-35.733,1.74E+15,0.102882281,0.051342542,0.091438972
1.74E+15,-0.496,2.287,-35.734,1.74E+15,0.10288,0.051324,0.091484
1.74E+15,-0.492,2.292,-35.736,1.74E+15,0.102492328,0.051437349,0.092006929
1.74E+15,-0.494,2.291,-35.737,1.74E+15,0.102868027,0.051133547,0.090822001
1.74E+15,-0.496,2.288,-35.738,1.74E+15,0.102736957,0.051466746,0.091445681
1.74E+15,-0.493,2.288,-35.741,1.74E+15,0.103218,0.050274,0.090888
1.74E+15,-0.494,2.286,-35.741,1.74E+15,0.103213392,0.051092935,0.090180319
1.74E+15,-0.492,2.289,-35.744,1.74E+15,0.102706999,0.051025899,0.09112028
1.74E+15,-0.495,2.283,-35.746,1.74E+15,0.102887931,0.051229241,0.091353413
1.74E+15,-0.494,2.289,-35.745,1.74E+15,0.10328,0.050144,0.091297
1.74E+15,-0.499,2.277,-35.746,1.74E+15,0.103273,0.05131,0.090324
1.74E+15,-0.506,2.272,-35.746,1.74E+15,0.102779445,0.0509996,0.091147234
1.74E+15,-0.509,2.272,-35.75,1.74E+15,0.103288975,0.050149471,0.091803174
1.74E+15,-0.514,2.257,-35.755,1.74E+15,0.103332,0.051155,0.090632
1.74E+15,-0.507,2.275,-35.756,1.74E+15,0.10273748,0.051424735,0.091133293
1.74E+15,-0.51,2.269,-35.76,1.74E+15,0.103228206,0.050405811,0.091888698
1.74E+15,-0.509,2.269,-35.763,1.74E+15,0.10224,0.052298,0.09065
1.74E+15,-0.509,2.266,-35.767,1.74E+15,0.10266,0.050985,0.091379
1.74E+15,-0.511,2.263,-35.769,1.74E+15,0.10266,0.050985,0.091379
1.74E+15,-0.507,2.272,-35.769,1.74E+15,0.102313283,0.052259091,0.090510344
1.74E+15,-0.509,2.263,-35.772,1.74E+15,0.103110273,0.050808111,0.091352256
1.74E+15,-0.511,2.264,-35.774,1.74E+15,0.103202,0.049619,0.092721
1.74E+15,-0.508,2.266,-35.777,1.74E+15,0.102928,0.051481,0.091179
1.74E+15,-0.505,2.27,-35.78,1.74E+15,0.103114,0.051929,0.08991
1.74E+15,-0.504,2.274,-35.781,1.74E+15,0.103134433,0.049970778,0.092693731
1.74E+15,-0.505,2.271,-35.783,1.74E+15,0.102925,0.051585,0.091026
1.74E+15,-0.511,2.264,-35.789,1.74E+15,0.103001,0.050183,0.092815
1.74E+15,-0.508,2.274,-35.79,1.74E+15,0.103001,0.050183,0.092815
1.74E+15,-0.511,2.265,-35.791,1.74E+15,0.102679,0.051266,0.091937
1.74E+15,-0.509,2.27,-35.794,1.74E+15,0.102767,0.051919,0.090817
1.74E+15,-0.509,2.27,-35.795,1.74E+15,0.102600502,0.051596878,0.091540077
1.74E+15,-0.509,2.273,-35.795,1.74E+15,0.103139416,0.050901598,0.09151346
